Town,Order,Seasonal_Order
Andover,"(0, 1, 3)","(0, 1, 1, 12)"
Ansonia,"(0, 1, 1)","(0, 1, 1, 12)"
Ashford,"(1, 1, 2)","(0, 1, 1, 12)"
Avon,"(2, 1, 3)","(0, 1, 1, 12)"
Barkhamsted,"(0, 1, 3)","(0, 1, 1, 12)"
Beacon Falls,"(0, 1, 1)","(0, 1, 1, 12)"
Berlin,"(0, 1, 2)","(0, 1, 1, 12)"
Bethany,"(1, 1, 3)","(0, 1, 1, 12)"
Bethel,"(0, 1, 3)","(1, 1, 1, 12)"
Bethlehem,"(0, 1, 2)","(0, 1, 1, 12)"
Bloomfield,"(0, 1, 3)","(0, 1, 1, 12)"
Bolton,"(0, 1, 3)","(0, 1, 1, 12)"
Bozrah,"(0, 1, 3)","(0, 1, 1, 12)"
Branford,"(0, 1, 2)","(0, 1, 1, 12)"
Bridgeport,"(0, 1, 0)","(0, 1, 1, 12)"
Bridgewater,"(2, 1, 3)","(0, 1, 1, 12)"
Bristol,"(0, 1, 2)","(0, 1, 1, 12)"
Brookfield,"(0, 1, 3)","(0, 1, 1, 12)"
Brooklyn,"(0, 1, 2)","(0, 1, 1, 12)"
Burlington,"(0, 1, 3)","(0, 1, 1, 12)"
Canaan,"(0, 1, 3)","(0, 1, 1, 12)"
Canterbury,"(0, 1, 3)","(0, 1, 1, 12)"
Canton,"(2, 1, 2)","(0, 1, 1, 12)"
Chaplin,"(1, 1, 1)","(0, 1, 1, 12)"
Cheshire,"(2, 1, 3)","(0, 1, 1, 12)"
Chester,"(0, 1, 2)","(0, 1, 1, 12)"
Clinton,"(1, 1, 2)","(0, 1, 1, 12)"
Colchester,"(0, 1, 1)","(0, 1, 1, 12)"
Colebrook,"(0, 1, 3)","(1, 1, 1, 12)"
Columbia,"(0, 1, 3)","(0, 1, 1, 12)"
Cornwall,"(2, 1, 3)","(0, 1, 1, 12)"
Coventry,"(0, 1, 2)","(0, 1, 1, 12)"
Cromwell,"(0, 1, 3)","(0, 1, 1, 12)"
Danbury,"(0, 1, 3)","(1, 1, 1, 12)"
Darien,"(0, 1, 1)","(0, 1, 1, 12)"
Deep River,"(0, 1, 3)","(0, 1, 1, 12)"
Derby,"(3, 1, 0)","(0, 1, 1, 12)"
Durham,"(0, 1, 3)","(0, 1, 1, 12)"
East Granby,"(0, 1, 1)","(0, 1, 2, 12)"
East Haddam,"(0, 1, 3)","(0, 1, 1, 12)"
East Hampton,"(1, 1, 1)","(0, 1, 1, 12)"
East Hartford,"(0, 1, 1)","(0, 1, 1, 12)"
East Haven,"(0, 1, 1)","(2, 1, 1, 12)"
East Lyme,"(3, 1, 3)","(0, 1, 1, 12)"
East Windsor,"(0, 1, 2)","(0, 1, 1, 12)"
Eastford,"(2, 1, 3)","(0, 1, 1, 12)"
Easton,"(1, 1, 3)","(0, 1, 1, 12)"
Ellington,"(1, 1, 2)","(0, 1, 1, 12)"
Enfield,"(0, 1, 1)","(0, 1, 1, 12)"
Essex,"(1, 1, 1)","(0, 1, 1, 12)"
Fairfield,"(0, 1, 2)","(0, 1, 1, 12)"
Farmington,"(2, 1, 3)","(0, 1, 1, 12)"
Franklin,"(0, 1, 3)","(0, 1, 1, 12)"
Glastonbury,"(1, 1, 2)","(0, 1, 2, 12)"
Goshen,"(0, 1, 3)","(0, 1, 1, 12)"
Granby,"(0, 1, 2)","(0, 1, 1, 12)"
Greenwich,"(1, 1, 1)","(0, 1, 1, 12)"
Griswold,"(0, 1, 1)","(0, 1, 1, 12)"
Groton,"(0, 1, 2)","(0, 1, 1, 12)"
Guilford,"(0, 1, 2)","(0, 1, 1, 12)"
Haddam,"(3, 1, 0)","(0, 1, 1, 12)"
Hamden,"(0, 1, 2)","(0, 1, 2, 12)"
Hampton,"(1, 1, 3)","(0, 1, 1, 12)"
Hartford,"(0, 1, 2)","(0, 1, 1, 12)"
Hartland,"(0, 1, 3)","(0, 1, 1, 12)"
Harwinton,"(0, 1, 3)","(0, 1, 2, 12)"
Hebron,"(0, 1, 3)","(0, 1, 1, 12)"
Kent,"(0, 1, 2)","(0, 1, 1, 12)"
Killingly,"(1, 1, 1)","(0, 1, 1, 12)"
Killingworth,"(0, 1, 3)","(0, 1, 1, 12)"
Lebanon,"(0, 1, 2)","(0, 1, 1, 12)"
Ledyard,"(0, 1, 2)","(0, 1, 1, 12)"
Lisbon,"(0, 1, 2)","(0, 1, 1, 12)"
Litchfield,"(2, 1, 3)","(0, 1, 1, 12)"
Lyme,"(0, 1, 3)","(0, 1, 2, 12)"
Madison,"(1, 1, 3)","(0, 1, 1, 12)"
Manchester,"(0, 1, 1)","(0, 1, 2, 12)"
Mansfield,"(0, 1, 2)","(0, 1, 1, 12)"
Marlborough,"(0, 1, 3)","(0, 1, 1, 12)"
Meriden,"(0, 1, 2)","(2, 1, 1, 12)"
Middlebury,"(0, 1, 2)","(0, 1, 1, 12)"
Middlefield,"(2, 1, 3)","(0, 1, 2, 12)"
Middletown,"(1, 1, 0)","(0, 1, 2, 12)"
Milford,"(0, 1, 1)","(0, 1, 2, 12)"
Monroe,"(0, 1, 3)","(0, 1, 1, 12)"
Montville,"(0, 1, 2)","(0, 1, 1, 12)"
Morris,"(0, 1, 3)","(0, 1, 1, 12)"
Naugatuck,"(0, 1, 2)","(0, 1, 1, 12)"
New Britain,"(0, 1, 1)","(0, 1, 1, 12)"
New Canaan,"(0, 1, 2)","(0, 1, 2, 12)"
New Fairfield,"(0, 1, 3)","(0, 1, 1, 12)"
New Hartford,"(0, 1, 3)","(0, 1, 1, 12)"
New Haven,"(0, 1, 1)","(0, 1, 1, 12)"
New London,"(0, 1, 2)","(0, 1, 1, 12)"
New Milford,"(2, 1, 3)","(0, 1, 1, 12)"
Newington,"(0, 1, 2)","(0, 1, 2, 12)"
Newtown,"(0, 1, 1)","(0, 1, 1, 12)"
Norfolk,"(0, 1, 3)","(0, 1, 1, 12)"
North Branford,"(0, 1, 3)","(0, 1, 1, 12)"
North Canaan,"(1, 1, 3)","(0, 1, 1, 12)"
North Haven,"(2, 1, 0)","(0, 1, 1, 12)"
North Stonington,"(0, 1, 3)","(0, 1, 2, 12)"
Norwalk,"(0, 1, 2)","(0, 1, 1, 12)"
Norwich,"(0, 1, 1)","(0, 1, 1, 12)"
Old Lyme,"(0, 1, 3)","(0, 1, 1, 12)"
Old Saybrook,"(1, 1, 1)","(0, 1, 1, 12)"
Orange,"(0, 1, 1)","(0, 1, 1, 12)"
Oxford,"(0, 1, 3)","(0, 1, 1, 12)"
Plainfield,"(0, 1, 1)","(0, 1, 1, 12)"
Plainville,"(0, 1, 1)","(0, 1, 1, 12)"
Plymouth,"(0, 1, 1)","(0, 1, 1, 12)"
Pomfret,"(0, 1, 3)","(0, 1, 1, 12)"
Portland,"(3, 1, 3)","(0, 1, 1, 12)"
Preston,"(2, 1, 3)","(0, 1, 1, 12)"
Prospect,"(0, 1, 1)","(0, 1, 1, 12)"
Putnam,"(0, 1, 2)","(0, 1, 1, 12)"
Redding,"(0, 1, 3)","(0, 1, 1, 12)"
Ridgefield,"(0, 1, 1)","(0, 1, 1, 12)"
Rocky Hill,"(0, 1, 3)","(0, 1, 1, 12)"
Roxbury,"(2, 1, 1)","(0, 1, 1, 12)"
Salem,"(0, 1, 1)","(0, 1, 1, 12)"
Salisbury,"(3, 1, 3)","(0, 1, 1, 12)"
Scotland,"(2, 1, 3)","(0, 1, 1, 12)"
Seymour,"(0, 1, 3)","(0, 1, 2, 12)"
Sharon,"(1, 1, 2)","(0, 1, 1, 12)"
Shelton,"(0, 1, 2)","(0, 1, 2, 12)"
Sherman,"(0, 1, 3)","(0, 1, 1, 12)"
Simsbury,"(2, 1, 0)","(1, 1, 1, 12)"
Somers,"(0, 1, 2)","(0, 1, 1, 12)"
South Windsor,"(3, 1, 0)","(0, 1, 1, 12)"
Southbury,"(0, 1, 1)","(0, 1, 1, 12)"
Southington,"(1, 1, 0)","(1, 1, 1, 12)"
Sprague,"(0, 1, 2)","(0, 1, 1, 12)"
Stafford,"(2, 1, 3)","(0, 1, 1, 12)"
Stamford,"(0, 1, 2)","(1, 1, 0, 12)"
Sterling,"(0, 1, 1)","(0, 1, 1, 12)"
Stonington,"(2, 1, 2)","(0, 1, 1, 12)"
Stratford,"(0, 1, 1)","(0, 1, 2, 12)"
Suffield,"(0, 1, 2)","(0, 1, 1, 12)"
Thomaston,"(0, 1, 1)","(0, 1, 1, 12)"
Thompson,"(3, 1, 3)","(0, 1, 1, 12)"
Tolland,"(1, 1, 2)","(0, 1, 1, 12)"
Torrington,"(1, 1, 0)","(0, 1, 2, 12)"
Trumbull,"(0, 1, 1)","(0, 1, 1, 12)"
Union,"(3, 1, 3)","(0, 1, 1, 12)"
Vernon,"(0, 1, 1)","(0, 1, 1, 12)"
Voluntown,"(0, 1, 2)","(0, 1, 1, 12)"
Wallingford,"(0, 1, 2)","(0, 1, 1, 12)"
Warren,"(0, 1, 2)","(0, 1, 1, 12)"
Washington,"(2, 1, 3)","(0, 1, 1, 12)"
Waterbury,"(1, 1, 0)","(0, 1, 1, 12)"
Waterford,"(0, 1, 2)","(0, 1, 1, 12)"
Watertown,"(0, 1, 2)","(0, 1, 1, 12)"
West Hartford,"(0, 1, 2)","(0, 1, 1, 12)"
West Haven,"(0, 1, 0)","(0, 1, 1, 12)"
Westbrook,"(0, 1, 2)","(0, 1, 1, 12)"
Weston,"(3, 1, 0)","(0, 1, 1, 12)"
Westport,"(0, 1, 1)","(0, 1, 1, 12)"
Wethersfield,"(3, 1, 3)","(0, 1, 1, 12)"
Willington,"(3, 1, 2)","(1, 1, 0, 12)"
Wilton,"(0, 1, 2)","(0, 1, 1, 12)"
Winchester,"(2, 1, 3)","(1, 1, 1, 12)"
Windham,"(0, 1, 1)","(1, 1, 1, 12)"
Windsor,"(0, 1, 2)","(0, 1, 2, 12)"
Windsor Locks,"(0, 1, 1)","(0, 1, 1, 12)"
Wolcott,"(0, 1, 3)","(0, 1, 1, 12)"
Woodbridge,"(2, 1, 3)","(0, 1, 1, 12)"
Woodbury,"(0, 1, 2)","(0, 1, 1, 12)"
Woodstock,"(0, 1, 2)","(0, 1, 1, 12)"
